card_id;cardName;category_id;categoryName;user_id
12;Игры (категории игр);3;hub;5g4x1d24li4s2wds
13;Стикеры (каталог стикеров);3;hub;5g4x1d24li4s2wds
14;Звонки;1;menu;5g4x1d24li4s2wds
15;VK NFT;3;hub;5g4x1d24li4s2wds
16;Реклама;1;menu;5g4x1d24li4s2wds
17;Почта;1;menu;5g4x1d24li4s2wds
18;Трансляции;3;hub;5g4x1d24li4s2wds
19;Мини-программа;3;hub;5g4x1d24li4s2wds
20;Сервисы;2;tapBar;5g4x1d24li4s2wds
21;Главная (лента новостей);2;tapBar;5g4x1d24li4s2wds
22;Мой профиль;1;menu;5g4x1d24li4s2wds
1;Клипы (короткие видео);3;hub;5g4x1d24li4tcmvp
2;Музыка;2;tapBar;5g4x1d24li4tcmvp
3;Видео;3;hub;5g4x1d24li4tcmvp
4;Сообщества;3;hub;5g4x1d24li4tcmvp
5;Мессенджер;2;tapBar;5g4x1d24li4tcmvp
6;Закладки;1;menu;5g4x1d24li4tcmvp
7;Файлы;1;menu;5g4x1d24li4tcmvp
8;VK Pay;3;hub;5g4x1d24li4tcmvp
9;Настройки;2;tapBar;5g4x1d24li4tcmvp
10;Управление VK ID;1;menu;5g4x1d24li4tcmvp
11;Друзья;2;tapBar;5g4x1d24li4tcmvp
12;Игры (категории игр);1;menu;5g4x1d24li4tcmvp
13;Стикеры (каталог стикеров);1;menu;5g4x1d24li4tcmvp
14;Звонки;3;hub;5g4x1d24li4tcmvp
15;VK NFT;1;menu;5g4x1d24li4tcmvp
16;Реклама;1;menu;5g4x1d24li4tcmvp
17;Почта;2;tapBar;5g4x1d24li4tcmvp
18;Трансляции;1;menu;5g4x1d24li4tcmvp
19;Мини-программа;1;menu;5g4x1d24li4tcmvp
20;Сервисы;3;hub;5g4x1d24li4tcmvp
21;Главная (лента новостей);3;hub;5g4x1d24li4tcmvp
22;Мой профиль;3;hub;5g4x1d24li4tcmvp
1;Клипы (короткие видео);3;hub;5g4x1d24li4vuy9q
2;Музыка;2;tapBar;5g4x1d24li4vuy9q
3;Видео;1;menu;5g4x1d24li4vuy9q
4;Сообщества;1;menu;5g4x1d24li4vuy9q
5;Мессенджер;1;menu;5g4x1d24li4vuy9q
6;Закладки;2;tapBar;5g4x1d24li4vuy9q
7;Файлы;1;menu;5g4x1d24li4vuy9q
8;VK Pay;3;hub;5g4x1d24li4vuy9q
9;Настройки;2;tapBar;5g4x1d24li4vuy9q
10;Управление VK ID;1;menu;5g4x1d24li4vuy9q
11;Друзья;1;menu;5g4x1d24li4vuy9q
12;Игры (категории игр);3;hub;5g4x1d24li4vuy9q
13;Стикеры (каталог стикеров);1;menu;5g4x1d24li4vuy9q
14;Звонки;3;hub;5g4x1d24li4vuy9q
15;VK NFT;3;hub;5g4x1d24li4vuy9q
16;Реклама;3;hub;5g4x1d24li4vuy9q
17;Почта;3;hub;5g4x1d24li4vuy9q
18;Трансляции;3;hub;5g4x1d24li4vuy9q
19;Мини-программа;3;hub;5g4x1d24li4vuy9q
20;Сервисы;1;menu;5g4x1d24li4vuy9q
21;Главная (лента новостей);2;tapBar;5g4x1d24li4vuy9q
22;Мой профиль;2;tapBar;5g4x1d24li4vuy9q
1;Клипы (короткие видео);3;hub;6ogcl24li4r81dg
2;Музыка;2;tapBar;6ogcl24li4r81dg
3;Видео;3;hub;6ogcl24li4r81dg
4;Сообщества;3;hub;6ogcl24li4r81dg
5;Мессенджер;2;tapBar;6ogcl24li4r81dg
6;Закладки;1;menu;6ogcl24li4r81dg
7;Файлы;3;hub;6ogcl24li4r81dg
8;VK Pay;1;menu;6ogcl24li4r81dg
9;Настройки;3;hub;6ogcl24li4r81dg
10;Управление VK ID;1;menu;6ogcl24li4r81dg
11;Друзья;3;hub;6ogcl24li4r81dg
12;Игры (категории игр);3;hub;6ogcl24li4r81dg
13;Стикеры (каталог стикеров);3;hub;6ogcl24li4r81dg
14;Звонки;3;hub;6ogcl24li4r81dg
15;VK NFT;1;menu;6ogcl24li4r81dg
16;Реклама;3;hub;6ogcl24li4r81dg
17;Почта;3;hub;6ogcl24li4r81dg
18;Трансляции;3;hub;6ogcl24li4r81dg
19;Мини-программа;3;hub;6ogcl24li4r81dg
20;Сервисы;2;tapBar;6ogcl24li4r81dg
21;Главная (лента новостей);2;tapBar;6ogcl24li4r81dg
22;Мой профиль;2;tapBar;6ogcl24li4r81dg
1;Клипы (короткие видео);3;hub;6ogcl24li4uzysc
2;Музыка;2;tapBar;6ogcl24li4uzysc
3;Видео;3;hub;6ogcl24li4uzysc
4;Сообщества;3;hub;6ogcl24li4uzysc
5;Мессенджер;2;tapBar;6ogcl24li4uzysc
6;Закладки;3;hub;6ogcl24li4uzysc
7;Файлы;3;hub;6ogcl24li4uzysc
8;VK Pay;1;menu;6ogcl24li4uzysc
9;Настройки;3;hub;6ogcl24li4uzysc
10;Управление VK ID;1;menu;6ogcl24li4uzysc
11;Друзья;3;hub;6ogcl24li4uzysc
12;Игры (категории игр);3;hub;6ogcl24li4uzysc
13;Стикеры (каталог стикеров);1;menu;6ogcl24li4uzysc
14;Звонки;3;hub;6ogcl24li4uzysc
15;VK NFT;3;hub;6ogcl24li4uzysc
16;Реклама;1;menu;6ogcl24li4uzysc
17;Почта;3;hub;6ogcl24li4uzysc
18;Трансляции;3;hub;6ogcl24li4uzysc
19;Мини-программа;3;hub;6ogcl24li4uzysc
20;Сервисы;2;tapBar;6ogcl24li4uzysc
21;Главная (лента новостей);2;tapBar;6ogcl24li4uzysc
22;Мой профиль;2;tapBar;6ogcl24li4uzysc
1;Клипы (короткие видео);3;hub;6ogcl24li4uzz6p
2;Музыка;2;tapBar;6ogcl24li4uzz6p
